cellID,frame_id_T,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,curvature_mean,curvature_std,curvature_min,curvature_max,curvature_frac_below_zero,realTime,frame_shape0,frame_shape1,track_pos0,track_pos1,number_1px_away,is_on_edge2,speed,speed_angle,N_frames_existence,directionality_ratio,displacement_norm_from_origin,displacement_norm_from_origin_squared,path_distance_from_origin
1,0,2521.0,3300.0,2606.0,2521.0,61.60530020372653,0.527031317170814,56.65542244372859,1,0.7639393939393939,64.07807737440318,0.1620453201655461,0.0006830183105357122,4.8546334704980034e-06,1.2212296570033753e-08,-2.9729784825205367e-15,1.3567695931346593e-11,5.794358643378335e-17,191.4386001800126,184.17669085930203,0.9673829623944743,183,406,243,461,212.94129313764378,434.77746925823084,-3.148421412213048,4.78249933722664,-19.002888995211354,2.1451114250630536,0.813953488372093,0,349,639,212.94129313764378,434.77746925823084,1.0,0.0,4.137114131632403,222.18678881096736,4.0,1.0,0.0,0.0,0.0
2,0,2067.0,2650.0,2119.0,2067.0,53.465936705823715,0.3868006348261406,51.30093701841694,1,0.78,55.08175741568164,0.15993962111818907,0.00016723859637163982,4.8934677060421935e-06,2.505521693926339e-08,2.356674169380324e-15,1.1116232590398096e-10,-8.450696355953698e-15,168.85281374238568,162.7640226147248,0.9754601226993865,205,251,258,301,230.74794388001936,274.8601838413159,-6.239481393815186,4.8778215538260055,-18.05483023388164,0.5764585518935608,0.9142857142857143,0,349,639,230.74794388001936,274.8601838413159,0.0,0.0,4.020279486943001,83.32910015450678,4.0,1.0,0.0,0.0,0.0
3,0,2314.0,3072.0,2363.0,2314.0,64.14406922844772,0.6973993341901287,54.27961225466857,1,0.7532552083333334,65.73431371817918,0.1682095313703425,0.002921362630997405,1.174471308798643e-05,4.3814646928848475e-07,9.70532391749428e-13,2.2574902432699102e-08,-2.143318917168419e-13,181.92388155425118,175.15617196187213,0.9792636479052053,209,343,257,407,232.26145203111494,374.0401901469317,-6.023236704746298,4.548066548493203,-19.239324725761165,-1.2903958287017405,1.0,0,349,639,232.26145203111494,374.0401901469317,1.0,0.0,2.3759878884248176,205.93996156154822,4.0,1.0,0.0,0.0,0.0
6,0,2392.0,3080.0,2438.0,2392.0,57.47100980169665,0.38429356517225055,55.18685523751566,1,0.7766233766233767,58.66856057549052,0.15985718167332774,0.0001624371817546257,1.5384315532704525e-05,3.0141583199776846e-08,4.5663741565003e-15,8.47655393193426e-11,-2.0010836538410877e-14,181.095454429505,174.3707737984747,0.9811320754716981,252,284,307,340,278.70317725752506,310.9778428093646,-5.715370899094562,4.16449596120564,-17.18487080681094,-1.3316777280304353,1.0,0,349,639,278.70317725752506,310.9778428093646,0.0,0.0,4.599181254539513,130.80860128808638,4.0,1.0,0.0,0.0,0.0
8,0,2347.0,2970.0,2384.0,2347.0,58.96626290981444,0.5057278254072343,54.66528342095582,1,0.7902356902356902,60.21627686929839,0.16150286121290802,0.0005608098991515468,3.980991573648219e-05,2.823144377334199e-07,7.557660928263786e-13,5.093794140001802e-09,-5.697150697186383e-13,179.4386001800126,172.7999774716798,0.9844798657718121,255,193,309,248,282.7622496804431,220.2006817213464,-7.049697171332663,4.579514800979847,-17.918799497462647,-2.30633618958777,1.0,0,349,639,282.7622496804431,220.2006817213464,0.0,0.0,5.237581399054909,199.15953417976738,4.0,1.0,0.0,0.0,0.0
9,0,2081.0,2596.0,2121.0,2081.0,60.205799162324226,0.680322758944539,51.474377049109336,1,0.801617873651772,60.876925020897694,0.16734160479223764,0.0025388040080339415,2.6242290057821793e-05,4.728638560825195e-07,-1.6179981957788803e-12,-2.3327438216657725e-08,3.959089044657172e-13,170.36753236814712,164.20006592040653,0.9811409712399811,177,121,236,165,206.04997597308986,141.72993753003362,-7.03830312951523,7.883580093788181,-31.796575039248243,0.008259239678925325,0.9701492537313433,0,349,639,206.04997597308986,141.72993753003362,0.0,0.0,2.760470716985016,13.669618479214895,4.0,1.0,0.0,0.0,0.0
1,1,2473.0,3306.0,2589.0,2473.0,61.722437253651286,0.5522015348074616,56.11346891905772,1,0.7480338777979432,63.00793600809346,0.16320391030759554,0.0008619349817604408,3.079878879832452e-05,2.843856062014205e-07,8.411850001712794e-15,5.1313141303024025e-09,8.416015831003329e-13,190.30256121069152,183.29600792089008,0.95519505600618,182,403,240,460,209.87585928022645,431.99919126566925,-5.667283654021109,5.7479055167549715,-24.29033660358029,1.924280425860911,0.8604651162790697,1,349,639,209.87585928022645,431.99919126566925,1.0,0.0,1.707648431094096,118.07178276068133,4.0,1.0,4.137114131632403,17.115713338152535,4.137114131632403
2,1,2419.0,3127.0,2476.0,2419.0,58.467921777857796,0.42597315974893263,55.497445515215915,1,0.7735849056603774,61.40032573203501,0.16062160512342666,0.00025685490795688886,4.737671503862478e-05,2.9157657958755907e-07,6.013359388927632e-13,2.2133491797169955e-09,-9.015617078260001e-13,183.92388155425118,177.05229085980918,0.9769789983844911,203,252,262,305,231.214964861513,278.8532451426209,-6.883026999083137,7.528338507341943,-31.851090905419568,-0.030054794540424423,1.0,1,349,639,231.214964861513,278.8532451426209,1.0,0.0,2.936325699186978,222.95971310667625,4.0,1.0,4.020279486943001,16.162647153134678,4.020279486943001
3,1,2315.0,3050.0,2354.0,2315.0,62.825036096145396,0.664810799929758,54.2913395125033,1,0.759016393442623,64.25729530566937,0.16602343064275027,0.002218100885118173,2.438899033524571e-06,5.9053482533112823e-08,1.490157341004201e-14,1.6504413655927214e-09,1.673932970302322e-14,179.33809511662426,172.7046926966653,0.9834324553950722,206,343,256,404,230.12483801295897,373.00086393088554,-5.223811626775716,3.8653833102883826,-15.85987283455216,-1.6645741824889615,1.0,1,349,639,230.12483801295897,373.00086393088554,1.0,0.0,2.58899646722479,164.13882347961527,4.0,1.0,2.3759878884248176,5.645318445941423,2.3759878884248176
6,1,2436.0,3074.0,2480.0,2436.0,58.714697154522774,0.4354351550441448,55.692113723352755,1,0.7924528301886793,60.41522986797286,0.160129010236727,0.0002812462391476385,1.104782143600724e-06,4.978337145125621e-09,-6.937629720022046e-17,-5.339683274738398e-11,-3.6262585088896863e-16,182.26702730475878,175.48149453301428,0.9822580645161291,250,286,303,344,275.6974548440066,314.45894909688013,-7.590289557773063,4.963211118462589,-20.08201144848509,-2.0792021049877025,1.0,1,349,639,275.6974548440066,314.45894909688013,1.0,0.0,4.248507775206092,25.599669824681232,4.0,1.0,4.599181254539513,21.152468212107646,4.599181254539513
